(32,32)
(31,32)
(30,32)
(29,32)
(28,32)
(27,32)
(26,31)
(26,30)
(27,30)
(28,30)
(29,30)
(30,29)
(30,28)
(31,28)
(32,27)
(32,26)
(32,25)
(32,24)
(32,23)
(32,22)
(32,21)
(32,20)
(31,20)
(30,20)
(29,20)
(28,19)
(28,18)
(27,18)
(26,17)
(26,16)
(27,16)
(28,15)
(28,14)
(29,14)
(30,13)
(30,12)
(29,12)
(28,12)
(27,12)
(26,13)
(26,14)
(25,14)
(24,15)
(24,16)
(24,17)
(24,18)
(24,19)
(24,20)
(24,21)
(24,22)
(25,22)
(26,22)
(27,22)
(28,23)
(28,24)
(27,24)
(26,25)
(26,26)
(27,26)
(28,27)
(28,28)
(27,28)
(26,28)
(25,28)
(24,27)
(24,26)
(23,26)
(22,26)
(21,26)
(20,26)
(19,26)
(18,26)
(17,26)
(16,25)
(16,24)
(16,23)
(16,22)
(16,21)
(16,20)
(16,19)
(16,18)
(15,18)
(14,19)
(14,20)
(14,21)
(14,22)
(13,22)
(12,21)
(12,20)
(12,19)
(12,18)
(12,17)
(12,16)
(12,15)
(12,14)
(13,14)
(14,13)
(14,12)
(15,12)
(16,11)
(16,10)
(15,10)
(14,9)
(14,8)
(14,7)
(14,6)
(13,6)
(12,7)
(12,8)
(12,9)
(12,10)
(12,11)
(12,12)
(11,12)
(10,13)
(10,14)
(10,15)
(10,16)
(9,16)
(8,15)
(8,14)
(8,13)
(8,12)
(7,12)
(6,11)
(6,10)
(5,10)
(4,10)
(3,10)
(2,9)
